European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Februar 2009,,,,,
,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,
,,02/2009,01/2009,Change (%),Market Share
db x-trackers MSCI Taiwan TRN Index ETF,LU0292109187,5.3434845310000005,5.46127946,-0.021569108459430386,0.000247489844341218
db x-trackers MSCI USA TRN Index ETF,LU0274210672,20.166578695000002,42.879224005999994,-0.5296888140471447,0.0009340390887566459
db x-trackers MSCI World TRN Index ETF,LU0274208692,14.557850359,24.86118075,-0.414434474959521,0.0006742641619694911
db x-trackers Quirin Wealth Management Total Return Index ETF,LU0397221945,1.21754923,0.51807132,1.3501575613180052,5.639224136652971e-05
db x-trackers S&P 500 Shariah ETF,LU0328475362,0.33417571,0.13382616,1.497088088009101,1.5477745649062122e-05
db x-trackers S&P 500 Short ETF,LU0322251520,34.108393494000005,14.683629795,1.322885687680197,0.001579770830735296
db x-trackers S&P CNX NIFTY ETF,LU0292109690,5.447683056,9.736716406,-0.4405010037425958,0.00025231592301389424
db x-trackers S&P Europe 350 Shariah ETF,LU0328475107,0,0.08135,-1,0
db x-trackers S&P Global Infrastructure ETF,LU0322253229,1.404233616,1.370531105,0.02459083991384503,6.503875084251567e-05
db x-trackers S&P Japan 500 Shariah ETF,LU0328475289,0.016611,0.016956799999999998,-0.0203929986789958,7.693582306642541e-07
db x-trackers S&P Select Frontier ETF,LU0328476410,0.04180656,0.22381657000000002,-0.8132106126012029,1.9363205726180834e-06
db x-trackers S&P/ASX 200 ETF,LU0328474803,3.5690537599999996,3.28701883,0.08580265115183394,0.0001653049717620374
db x-trackers S&P/MIB Index ETF,LU0274212538,1.7890278400000001,0.7260665,1.4639999779634514,8.286095319917479e-05
db x-trackers ShortDAX ETF,LU0292106241,899.194685309,671.693383547,0.3386981431328646,0.041647271814582686
