XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Turnover Report: September 2021,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Product Family,Replication,"Income
Treatment",Xetra Order Book Turnover in MEUR,,,,AuM
,,,,,09-2021,08-2021,Change (%),Market Share,in MEUR
iShares Edge MSCI World Momentum Factor UCITS ETF USD (Acc),IE00BP3QZ825,iShares,Optimised,Accumulating,45.32751878,43.72159553,0.03673066434407857,0.0027990986375754116,2506.327850099318
iShares STOXX Europe 600 Travel & Leisure UCITS ETF (DE),DE000A0H08S0,iShares,Full Replication,Distributing,45.30152709,19.48916223,1.324447123759203,0.002797493579411509,204.61905423
iShares MSCI World UCITS ETF USD (Dist),IE00B0M62Q58,iShares,Optimised,Distributing,45.16231258,42.971862310000006,0.050974059588063225,0.0027888967014936365,5148.233088418689
Xtrackers MSCI World Swap UCITS ETF 1C,LU0274208692,Xtrackers,Swap-based,Accumulating,45.08528857,39.566630270000005,0.13947759165592433,0.0027841402575660965,3530.818815893885
Amundi MSCI EM Asia UCITS ETF - EUR (C),LU1681044480,Amundi,Swap-based,Accumulating,44.67303532,23.774789079999998,0.8790086915042361,0.002758682488390339,1409.070101109643
iShares EUR Corp Bond 0-3yr ESG UCITS ETF,IE00BYZTVV78,iShares,Optimised,Distributing,44.434583159999995,47.78941317,-0.07020027632618042,0.002743957413333343,2305.66708761
Xtrackers MSCI AC World UCITS ETF 1C,IE00BGHQ0G80,Xtrackers,Optimised,Accumulating,44.38422335,61.52413425,-0.2785884126439374,0.00274084755690719,1147.72518
VanEck Vectors Semiconductor UCITS ETF - USD Acc,IE00BMC38736,VanEck Vectors,Full Replication,Accumulating,43.73029828,39.90091464,0.09597232731505123,0.002700465889836522,659.3487966145609
Xtrackers II ESG EUR Corporate Bond UCITS ETF 1D,LU0484968812,Xtrackers,Optimised,Distributing,43.38129045,45.675003520000004,-0.050218125741263275,0.002678913698855197,1596.757283415
iShares Gold Producers UCITS ETF USD (Acc),IE00B6R52036,iShares,Full Replication,Accumulating,42.87029943,30.19413007,0.41982230753502225,0.0026473586015017024,1515.4619864668798
iShares MSCI Japan EUR Hedged UCITS ETF (Acc),IE00B42Z5J44,iShares,Optimised,Accumulating,42.72916308,5.70538077,6.489274564228603,0.0026386430446913947,1045.1722375900001
iShares Digital Security UCITS ETF,IE00BG0J4C88,iShares,Optimised,Accumulating,42.6389742,28.93491254,0.4736168336799127,0.0026330736339244447,1172.8565145262978
Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1C,LU0290356871,Xtrackers,Optimised,Accumulating,41.56745884,24.116737920000002,0.7235937537608734,0.00256690462081622,864.5177605632
iShares STOXX Europe 600 Banks UCITS ETF (DE),DE000A0F5UJ7,iShares,Full Replication,Distributing,40.88470593,40.93634454,-0.0012614367643291047,0.002524742755538369,1257.2939222100001
iShares TecDAX UCITS ETF (DE) EUR (Acc),DE0005933972,iShares,Full Replication,Accumulating,40.59837611,27.7336858,0.4638651495071022,0.0025070611036273256,1043.89357404
iShares Dow Jones Global Titans 50 UCITS ETF (DE),DE0006289382,iShares,Full Replication,Distributing,40.45915846,43.56084758,-0.07120359892685091,0.002498464031805839,1200.4787180399999
Amundi Index MSCI World SRI UCITS ETF DR (C),LU1861134382,Amundi,Full Replication,Accumulating,40.45466611,35.57490826,0.13716852941225266,0.0024981866168688875,1471.670948930072
iShares EUR Corp Bond ESG UCITS ETF EUR (Dist),IE00BYZTVT56,iShares,Optimised,Distributing,40.40772899,42.43721566,-0.0478232758308158,0.002495288120940148,2428.66597648
iShares EUR Ultrashort Bond UCITS ETF EUR (Dist),IE00BCRY6557,iShares,Optimised,Distributing,40.25301395,51.35213458,-0.21613747355933177,0.0024857340427701445,3573.64760194
iShares STOXX Global Select Dividend 100 UCITS ETF (DE),DE000A0F5UH1,iShares,Full Replication,Distributing,40.182979329999995,33.23538921,0.20904193647624192,0.0024814092128500114,1674.83116929
iShares Core MSCI Japan IMI UCITS ETF USD (Acc),IE00B4L5YX21,iShares,Optimised,Accumulating,39.744721829999996,15.99812232,1.4843366637041688,0.0024543456098958943,4122.629637067105
SPDR S&P 500 UCITS ETF,IE00B6YX5C33,SPDR,Full Replication,Distributing,39.367530630000005,23.773243949999998,0.6559595616314704,0.0024310530184979452,4661.514692270491
Xtrackers MSCI World ESG UCITS ETF,IE00BZ02LR44,Xtrackers,Full Replication,Accumulating,38.31938589,46.13914833,-0.16948215827632718,0.0023663272052903985,2503.1122701659806
iShares EUR Corp Bond Large Cap UCITS ETF EUR (Dist),IE0032523478,iShares,Optimised,Distributing,37.452826939999994,21.71986858,0.7243578984859582,0.0023128148127833977,2723.46496186
SPDR MSCI ACWI UCITS ETF,IE00B44Z5B48,SPDR,Optimised,Accumulating,36.524919700000005,23.05423362,0.5843042237723277,0.002255513995064111,2461.096015286294
Lyxor Core DAX (DR) UCITS ETF,LU0378438732,Lyxor,Full Replication,Distributing,36.45632148,22.04768986,0.6535211494488975,0.002251277866784642,915.11267994
iShares MSCI EM Asia UCITS ETF USD (Acc),IE00B5L8K969,iShares,Full Replication,Accumulating,36.44939028,25.5887341,0.4244311632438278,0.002250849846169375,1384.924403514984
HSBC S&P 500 UCITS ETF,IE00B5KQNG97,HSBC ETF,Full Replication,Distributing,35.83926269,19.714995350000002,0.8178681787008382,0.0022131727936440617,5220.228008
iShares Edge MSCI World Quality Factor UCITS ETF USD (Acc),IE00BP3QZ601,iShares,Optimised,Accumulating,35.65426685,29.82498823,0.19544948601644418,0.0022017487930007795,2131.570274756024
iShares Core MSCI Pacific ex-Japan UCITS ETF USD (Acc),IE00B52MJY50,iShares,Full Replication,Accumulating,35.594673060000005,20.51033882,0.7354502708307773,0.0021980687129768417,2541.9591444597977
iShares EUR Corp Bond 1-5yr UCITS ETF EUR (Dist),IE00B4L60045,iShares,Optimised,Distributing,35.472221829999995,51.00729825,-0.3045657573129744,0.002190507013587867,4017.4574563
iShares EUR High Yield Corp Bond UCITS ETF,IE00B66F4759,iShares,Optimised,Distributing,35.46342943,34.69943096,0.02201760803745456,0.0021899640587665263,5036.26718938
iShares MSCI World EUR Hedged UCITS ETF (Acc),IE00B441G979,iShares,Optimised,Accumulating,35.05742416,41.24885967,-0.1500995557097301,0.00216489211949667,2477.50087691
Deka STOXX Europe Strong Growth 20 UCITS ETF,DE000ETFL037,Deka ETF,Full Replication,Distributing,34.99688314,30.8063891,0.13602678413225644,0.0021611535454215723,414.59798025
Vanguard FTSE Developed World UCITS ETF,IE00BKX55T58,Vanguard,Optimised,Distributing,34.48166079,28.12979291,0.22580571070403943,0.0021293371518322163,1087.993984
iShares MSCI Europe ESG Screened UCITS ETF EUR (Acc),IE00BFNM3D14,iShares,Optimised,Accumulating,33.40248823,32.55849268,0.025922439293955657,0.0020626952856169934,1006.98600135
iShares STOXX Europe 600 Automobiles & Parts UCITS ETF (DE),DE000A0Q4R28,iShares,Full Replication,Distributing,33.18569453,26.1097404,0.27100821462016533,0.0020493076798834826,334.20072102
iShares Core MSCI EMU UCITS ETF EUR (Acc),IE00B53QG562,iShares,Full Replication,Accumulating,33.09174876,9.677317380000002,2.4195167380156746,0.002043506270852265,3114.2567041999996
iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),IE00BDBRDM35,iShares,Optimised,Accumulating,33.01498445,29.2862619,0.12731985265760404,0.002038765864112194,1412.79953067
iShares STOXX Europe 600 Technology UCITS ETF (DE),DE000A0H08Q4,iShares,Full Replication,Distributing,32.55863412,12.31037729,1.6448120437744929,0.00201058497926915,303.20150258999996
Xtrackers STOXX Europe 600 UCITS ETF 1C,LU0328475792,Xtrackers,Full Replication,Accumulating,32.34289034,24.8040199,0.30393744523644717,0.0019972622089760223,1640.260895436
Xtrackers II iBoxx Eurozone Government Bond Yield Plus UCITS ETF 1C,LU0524480265,Xtrackers,Optimised,Accumulating,32.328266469999996,41.10268731,-0.2134756001188577,0.001996359144883947,1013.3350819752001
iShares Diversified Commodity Swap UCITS ETF (DE),DE000A0H0728,iShares,Swap-based,Accumulating,32.188613239999995,31.248554329999997,0.03008327681570533,0.0019877351748024768,439.34895268
Invesco MSCI World UCITS ETF Acc,IE00B60SX394,Invesco,Swap-based,Accumulating,32.02644805,30.413702219999998,0.05302694878558589,0.0019777210294310023,2691.289146375614
Vanguard S&P 500 UCITS ETF (USD) Accumulating,IE00BFMXXD54,Vanguard,Full Replication,Accumulating,32.02443584,15.60089543,1.0527306258599802,0.001977596769943144,3203.237124
iShares J.P. Morgan USD EM Bond EUR Hedged UCITS ETF (Dist),IE00B9M6RS56,iShares,Optimised,Distributing,31.8232327,23.35517584,0.36257731125692927,0.0019651719240612554,3134.01966709
iShares Edge MSCI USA Value Factor UCITS ETF USD (Acc),IE00BD1F4M44,iShares,Optimised,Accumulating,31.750894239999997,44.29809874,-0.2832447634749211,0.0019607048257006972,2824.153520062182
iShares STOXX Europe 600 Telecommunications UCITS ETF (DE),DE000A0H08R2,iShares,Full Replication,Distributing,31.74212773,9.51446316,2.3361974497360922,0.0019601634696578838,545.7451723300001
SPDR S&P US Dividend Aristocrats UCITS ETF,IE00B6YX5D40,SPDR,Full Replication,Distributing,31.27084114,38.9983745,-0.19815013982185326,0.0019310602297832446,2831.6931022540807
iShares USD Treasury Bond 7-10yr UCITS ETF USD (Dist),IE00B1FZS798,iShares,Optimised,Distributing,31.13124652,10.43440441,1.9835192596296927,0.0019224398790300666,2970.414735754383
UBS ETF (LU) MSCI EMU Socially Responsible UCITS ETF (EUR) A-dis,LU0629460675,UBS ETF,Full Replication,Distributing,30.940272620000002,15.10907364,1.0477941505353603,0.0019106467167813903,1125.2239267300001
Lyxor World Water (DR) UCITS ETF - Dist,FR0010527275,Lyxor,Full Replication,Distributing,30.83526492,23.891677989999998,0.29062784677184594,0.0019041622032250334,1184.3806888125
Amundi MSCI World UCITS ETF - EUR (C),LU1681043599,Amundi,Swap-based,Accumulating,30.610950120000002,30.50351336,0.003522111001839079,0.0018903101489329058,1764.2825339097792
iShares Global Corp Bond EUR Hedged UCITS ETF (Dist),IE00B9M6SJ31,iShares,Optimised,Distributing,30.59574336,38.27443796,-0.20062200803640484,0.0018893710897842121,1581.3679637
SPDR MSCI EM Asia UCITS ETF,IE00B466KX20,SPDR,Optimised,Accumulating,30.344581039999998,21.379437420000002,0.41933487041213247,0.0018738611274777715,1111.0974420848088
Invesco EURO STOXX 50 UCITS ETF Acc,IE00B60SWX25,Invesco,Swap-based,Accumulating,30.32188938,18.7212065,0.6196546616800578,0.0018724598552197727,237.9875662374
Xtrackers MSCI USA Swap UCITS ETF 1C,LU0274210672,Xtrackers,Swap-based,Accumulating,30.2836298,17.359309940000003,0.7445180657912716,0.0018700972211922633,3563.938654957504
Xtrackers MSCI World UCITS ETF 1D,IE00BK1PV551,Xtrackers,Optimised,Distributing,30.24531412,28.48162636,0.061923702590135354,0.0018677311228358473,800.396270038004
UBS ETF (LU) MSCI EMU UCITS ETF (EUR) A-dis,LU0147308422,UBS ETF,Full Replication,Distributing,30.2229267,1.6420336,17.40579066104372,0.0018663486382325101,809.01417767
Xtrackers Russell 2000 UCITS ETF 1C,IE00BJZ2DD79,Xtrackers,Full Replication,Accumulating,30.17219005,31.002628050000002,-0.026786051771504615,0.0018632155109025226,1457.818910492812
Xtrackers Harvest CSI300 UCITS ETF 1D,LU0875160326,Xtrackers,Full Replication,Distributing,29.97939051,18.67695404,0.6051541619577709,0.0018513096103753295,505.213768408888
Lyxor Daily LevDAX UCITS ETF - Acc,LU0252634307,Lyxor,Swap-based,Accumulating,29.946831739999997,19.14360014,0.5643260160572909,0.0018492990170050972,125.47106683259999
Xtrackers MSCI World Health Care UCITS ETF 1C,IE00BM67HK77,Xtrackers,Optimised,Accumulating,29.87833864,51.97597172,-0.42515093703379436,0.0018450693801740183,1766.578723929611
Xtrackers CSI300 Swap UCITS ETF 1C,LU0779800910,Xtrackers,Swap-based,Accumulating,29.638255179999998,35.4749098,-0.16452908979630443,0.001830243567866663,1389.0465154408441
iShares MSCI Emerging Markets UCITS ETF (Dist),IE00B0M63177,iShares,Optimised,Distributing,29.58862431,31.15671143,-0.05032903178896253,0.0018271787254853066,3385.4981294412296
iShares Core MSCI Europe UCITS ETF EUR (Dist),IE00B1YZSC51,iShares,Optimised,Distributing,29.49614,15.29997932,0.927854893335895,0.0018214675656185034,6316.31271075
iShares EUR Corp Bond ex-Financials UCITS ETF EUR (Dist),IE00B4L5ZG21,iShares,Optimised,Distributing,29.17327838,52.66023119,-0.4460092992235114,0.001801529974834996,1648.84708454
iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc),IE00BQN1K901,iShares,Optimised,Accumulating,29.112752699999998,30.340478440000002,-0.0404649433075982,0.0017977923480469822,2899.52027894
Xtrackers MSCI Europe Small Cap UCITS ETF 1C,LU0322253906,Xtrackers,Optimised,Accumulating,28.89562415,28.0403694,0.030500837481834298,0.001784384064407334,1168.820334355177
Xtrackers MSCI World Momentum UCITS ETF 1C,IE00BL25JP72,Xtrackers,Optimised,Accumulating,28.38080987,22.05051791,0.2870813277872801,0.0017525928702599898,612.049724164125
iShares S&P 500 EUR Hedged UCITS ETF (Acc),IE00B3ZW0K18,iShares,Optimised,Accumulating,28.193995670000003,28.794184469999998,-0.020844097898494618,0.0017410565808981628,4614.67424121
