XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Monthly turnover report: October 2009,,,,,,,
,,,,,,,
,,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,XLM,AuM
,,10/2009,09/2009,Change (%),Market Share,"€ 100,000 round trip",in €m
db x-trackers DJ EURO STOXX 50 Short ETF,LU0292106753,425.811784111,382.74827440499996,0.11251130987577751,0.029333103946436786,7.2015,483.83936
db x-trackers DJ EURO STOXX ETF Anteilsklasse (1C),LU0380865021,329.0850602,158.73843238999999,1.0731278194273721,0.022669842964114995,9.0910909091,572.620288
db x-trackers DJ EURO STOXX Select Dividend 30 ETF,LU0292095535,11.925246130000001,8.361565717,0.4261977401857455,0.0008215002434665982,20.8627272727,40.702508
db x-trackers DJ Islamic Market Titans 100 ETF,LU0328475529,0.33517179999999996,0.31450279999999997,0.06571960567600676,2.3089143175876562e-05,220.4435,2.501732100061933
db x-trackers DJ STOXX 600 Banks ETF,LU0292103651,28.179944255,16.20988166,0.7384423184616882,0.0019412455570304997,17.3551818182,322.16944
db x-trackers DJ STOXX 600 Banks Short ETF,LU0322249037,49.769662857,37.657371299000005,0.32164463796020826,0.003428507026904945,21.1563181818,271.405472
db x-trackers DJ STOXX 600 Basic Resources ETF,LU0292100806,88.070065027,36.408917824,1.4189146585660408,0.006066925501838646,17.3034545455,71.29392
db x-trackers DJ STOXX 600 Basic Resources Short Daily ETF,LU0412624354,1.285535,0.63985237,1.0091118831051609,8.855727621655665e-05,219.0388181818,3.7094265
db x-trackers DJ STOXX 600 ETF,LU0328475792,5.53670114,1.9999988,1.7683522310113386,0.0003814094304577503,21.3354545455,22.821652
db x-trackers DJ STOXX 600 Food & Beverage ETF,LU0292105359,8.178624716,1.60287032,4.102486841231173,0.0005634049077204192,18.0272272727,54.236944
db x-trackers DJ STOXX 600 Health Care ETF,LU0292103222,9.574436002,5.828957522,0.6425640375424924,0.0006595588402080522,24.1216818182,101.885392
db x-trackers DJ STOXX 600 Health Care Short ETF,LU0322249466,3.93701773,0.2467802,14.953539749137086,0.00027121125958071217,23.136,7.5434065
db x-trackers DJ STOXX 600 Industrial Goods ETF,LU0292106084,1.19146225,1.96968352,-0.39509965032352,8.207684082879897e-05,29.8953181818,17.199626
db x-trackers DJ STOXX 600 Industrial Goods Short Daily ETF,LU0412624511,0.019657599999999997,0.005528,2.556005788712011,1.354162673870866e-06,33.0869090909,1.71318975
db x-trackers DJ STOXX 600 Insurance ETF,LU0292105193,5.025135694,2.6730632400000003,0.8799165013394894,0.00034616897220164064,23.9630454545,35.464128
db x-trackers DJ STOXX 600 Insurance Short Daily ETF,LU0412624602,0.5002658,0.0009572999999999999,521.5799644834431,3.446205403376546e-05,34.4510454545,2.47499975
db x-trackers DJ STOXX 600 Oil & Gas ETF,LU0292101796,19.172925047,10.509546746,0.8243341516414433,0.001320774634114603,23.1339090909,137.263568
db x-trackers DJ STOXX 600 Oil & Gas Short ETF,LU0322249623,4.08604252,3.712019812,0.10075989001752683,0.0002814772029359257,19.1186363636,8.3679255
db x-trackers DJ STOXX 600 Technology ETF,LU0292104469,6.717284650000001,0.46162569,13.551366606134943,0.00046273686222101,26.2086363636,27.922202
