European ETF Statistics ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
March 2009,,,,,,
,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,
,,03/2009,02/2009,Change (%),Market Share,
iShares $ Treasury Bond 1-3,DE000A0J2078,10.764221049000001,21.54643948,-0.5004176416715325,0.0004206067957286325,
iShares $ Treasury Bond 7-10,DE000A0LGQB6,0.44732699200000003,12.924614876,-0.9653895302651802,1.7479088537068525e-05,
iShares € Corporate Bond,DE0002511243,56.020508592,68.677341387,-0.18429415786027825,0.002188974613835008,
iShares € Covered Bond,DE000A0RFEE5,0.28313625,,,1.1063413722647811e-05,
iShares € Government Bond 1-3,DE000A0J21A7,25.63596463,62.9997559,-0.593078349848019,0.0010017130723489341,
iShares € Government Bond 15-30,DE000A0LGQC4,11.633384490000001,8.24866333,0.41033571435628,0.00045456894201114913,
iShares € Government Bond 3-5,DE000A0LGQD2,16.81865361,37.83282552,-0.555448122659806,0.0006571808560201462,
iShares € Government Bond 7-10,DE000A0LGQH3,43.79034907,43.21829696,0.013236340861127571,0.0017110869725108523,
iShares € Inflation Linked Bond,DE000A0HG2S8,6.705295045,7.742582855,-0.13397180623390315,0.0002620062009553894,
iShares ATX (DE),DE000A0D8Q23,4.0723225759999995,4.2022170690000005,-0.030910943168129035,0.00015912405942498313,
iShares DAX (DE),DE0005933931,1400.2106688269998,1144.588526612,0.22333103667537668,0.05471256304375897,
iShares DivDAX (DE),DE0002635273,12.688945462,20.179441748,-0.37119442547227,0.0004958144827807123,
iShares DJ Asia/Pacific Select Dividend,DE000A0J2086,0.49054614,0.18908628,1.5942979046390886,1.9167856100615567e-05,
iShares DJ Asia/Pacific Select Dividend 30 (DE),DE000A0H0744,0.73458879,0.288526554,1.5460006360454437,2.870370607715985e-05,
iShares DJ China Offshore 50 (DE),DE000A0F5UE8,9.198837645,2.584687485,2.558974807741602,0.0003594401869562879,
iShares DJ EURO STOXX (DE),DE000A0D8Q07,17.07614664,18.654859259,-0.084627420506448,0.0006672422731703281,
iShares DJ EURO STOXX 50,IE0008471009,360.098509004,491.939742142,-0.2680028097830397,0.0140706772305555,
iShares DJ EURO STOXX 50 (DE),DE0005933956,841.722048148,596.8068978719999,0.4103758705693248,0.03288988696479453,
ishares DJ EURO STOXX Banks (DE),DE0006289309,22.026851845,13.13123954,0.6774388874639325,0.000860688714245185,
iShares DJ EURO STOXX Growth,DE000A0HG3L1,1.93830702,1.05229952,0.8419727303496252,7.573842093258135e-05,
iShares DJ EURO STOXX Healthcare (DE),DE0006289333,0.02308718,0.28224828,-0.9182025839094573,9.02120530413326e-07,
iShares DJ EURO STOXX MidCap,DE000A0DPMX7,3.08278246,2.91368129,0.058036948166008795,0.00012045825206734205,
iShares DJ EURO STOXX Select Dividend,DE000A0HG2P4,2.449270055,2.813953803,-0.12959834223689282,9.570405745275413e-05,
iShares DJ EURO STOXX Select Dividend 30 (DE),DE0002635281,12.584047535,6.544273528,0.9229097746539057,0.0004917156463899319,
iShares DJ EURO STOXX SmallCap,DE000A0DPMZ2,3.604436835,1.5942039,1.260963503476563,0.000140841647591067,
iShares DJ EURO STOXX Sustainability 40 (DE),DE000A0F5UG3,2.229921,2.31011945,-0.03471614855240501,8.71330979054096e-05,
iShares DJ EURO STOXX Technology (DE),DE0006289325,0.83348446,1.2599596599999998,-0.33848321778809953,3.2568007142772075e-05,
iShares DJ EURO STOXX Telecommunication (DE),DE0006289317,15.86988307,1.3778883,10.51753960752842,0.0006201081003702429,
iShares DJ EURO STOXX Value,DE000A0HG2N9,3.0144302200000004,2.76945139,0.08845753021142588,0.00011778742093925545,
iShares DJ Global Titans 50 (DE),DE0006289382,0.9721872410000001,0.419411169,1.3179812862828175,3.7987752055989004e-05,
iShares DJ Industrial Average (DE),DE0006289390,30.447523074,17.238561213,0.7662450304169708,0.0011897224202041506,
