Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,ETF Segment of Deutsche Börse Group,,,,,,,,,,,
,Monthly Report: December 2021,,,,,,,,,,,
,,,,,,,,,,,,
,,Product Name,ISIN,Xetra Ticker,Product Family,ETF Type,Replication,Income Treatment,Xetra Order Book Turnover (€ m),,Assets under Management (€ m),Xetra Liquidity Measure (XLM)*
,,Exchange Traded Funds,,,,,,,12-2021,November 2021,December 2021,December 2021
,488,SPDR S&P U.S. Communication Services Select Sector UCITS ETF,IE00BFWFPX50,ZPDK,SPDR,Passive,Full Replication,Accumulating,7.0326149000000004,9.069153015000001,217.61157200247217,16.7179047619048
,489,Xtrackers MSCI World Materials UCITS ETF 1C,IE00BM67HS53,XDWM,Xtrackers,Passive,Optimised,Accumulating,6.9921593600000005,8.464920744999999,267.265648844029,12.5388
,490,Amundi Index MSCI World SRI UCITS ETF DR - Hedged EUR (C),LU2249056297,MWSH,Amundi,Passive,Full Replication,Accumulating,6.98928439,0.33689816,177.56095439089566,59.2354761904762
,491,Amundi MSCI USA ESG Leaders Select UCITS ETF DR (A),LU2109787395,SADU,Amundi,Passive,Full Replication,Accumulating,6.93919149,14.081087150000002,1969.2950356187139,14.8363333333333
,492,iShares MSCI World Information Technology Sector UCITS ETF USD (Dist),IE00BJ5JNY98,AYEW,iShares,Passive,Full Replication,Distributing,6.929100099,7.692686812,136.65382728235917,31.1437619047619
,493,UBS ETF (LU) MSCI EMU UCITS ETF (EUR) A-dis,LU0147308422,UIM4,UBS ETF,Passive,Full Replication,Distributing,6.90950802,11.70905622,746.75425223,7.64495238095238
,494,SPDR Dow Jones Global Real Estate UCITS ETF,IE00B8GF1M35,SPYJ,SPDR,Passive,Optimised,Distributing,6.90649658,6.510956354999999,282.8415820678086,18.9152
,495,Xtrackers II Japan Government Bond UCITS ETF 1C,LU0952581584,XJSE,Xtrackers,Passive,Optimised,Accumulating,6.8758000635,3.0841309555,1098.389196986931,14.1694761904762
,496,iShares Dow Jones Asia Pacific Select Dividend 50 UCITS ETF (DE),DE000A0H0744,EXXW,iShares,Passive,Full Replication,Distributing,6.848035435,5.59986782,240.96562271000002,32.7795238095238
,497,UBS ETF (IE) MSCI World Socially Responsible UCITS ETF (USD) A-dis,IE00BK72HH44,4UB9,UBS ETF,Passive,Full Replication,Distributing,6.774783815999999,4.610213456,252.6514864,25.5168095238095
,498,iShares MSCI USA SRI UCITS ETF EUR Hedged (Dist),IE00BZ173V67,3SUR,iShares,Passive,Full Replication,Distributing,6.744102799999999,11.118098799999999,389.25286617,16.35375
,499,iShares STOXX Europe 600 Insurance UCITS ETF (DE),DE000A0H08K7,EXH5,iShares,Passive,Full Replication,Distributing,6.71536905,7.698020795,248.56398486,11.496
,500,Deka MSCI Europe UCITS ETF,DE000ETFL284,EL42,Deka ETF,Passive,Full Replication,Distributing,6.71104353,11.220977838,456.4761067,9.3561
,501,Vanguard USD Corporate Bond UCITS ETF EUR hedged - Acc,IE00BGYWFL94,VDCE,Vanguard,Passive,Optimised,Accumulating,6.696882722,19.360550886,136.6111629,18.096619047619
,502,iShares Fallen Angels High Yield Corp Bond UCITS ETF EUR Hedged (Dist),IE00BF3N7219,IBC7,iShares,Passive,Optimised,Distributing,6.6814127592000006,8.5540611186,573.55736733,24.9968095238095
,503,Amundi MSCI World ESG Leaders Select UCITS ETF DR (A),LU2109787122,SADW,Amundi,Passive,Full Replication,Accumulating,6.66787262,7.67438531,350.38964071118096,15.29105
,504,Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C,LU0292107645,DBX1,Xtrackers,Passive,Swap-based,Accumulating,6.653473405000001,11.788711240999998,1092.1657077138232,11.9615238095238
,505,iShares Dow Jones Eurozone Sustainability Screened UCITS ETF (DE),DE000A0F5UG3,EXXV,iShares,Passive,Full Replication,Distributing,6.64276015,6.0783724679999995,172.23434321000002,12.3935714285714
,506,SPDR Bloomberg Barclays US Treasury Bond UCITS ETF,IE00B44CND37,SYBT,SPDR,Passive,Optimised,Distributing,6.59937629,12.346835776,406.83966289069394,6.9941
,507,Lyxor STOXX Europe 600 Automobiles & Parts UCITS ETF - Acc,LU1834983394,LAUT,Lyxor,Passive,Swap-based,Accumulating,6.59851705,5.4946532800000005,90.6098071112,11.41835
,508,iShares Dow Jones U.S. Select Dividend UCITS ETF (DE),DE000A0D8Q49,EXX5,iShares,Passive,Full Replication,Distributing,6.56982588,8.985238549999998,345.47086037435986,14.56745
,509,iShares MSCI Japan ESG Screened UCITS ETF USD (Dist),IE00BFNM3M05,SODJ,iShares,Passive,Optimised,Distributing,6.560987326,3.3205316739999997,114.84956148684442,15.4895238095238
,510,iShares Global Timber & Forestry UCITS ETF USD (Dist),IE00B27YCF74,IUSB,iShares,Passive,Full Replication,Distributing,6.5250123349999996,4.9454360699999995,256.61233051386193,33.5499
,511,VanEck Vectors Global Mining UCITS ETF,IE00BDFBTQ78,WMIN,VanEck Vectors,Passive,Full Replication,Accumulating,6.47469291,7.1690499,168.30473371004766,48.68115
,512,Lyxor MSCI Disruptive Technologies ESG Filtered (DR) UCITS ETF,LU2023678282,DRUP,Lyxor,Passive,Full Replication,Accumulating,6.434117256,9.912330056,225.82884940052486,29.2981428571429
,513,Xtrackers MSCI Europe UCITS ETF 1D,LU1242369327,XIEE,Xtrackers,Passive,Full Replication,Distributing,6.43023979,6.00832149,151.560614308665,16.7121904761905
,514,Vanguard LifeStrategy 60% Equity UCITS ETF (EUR) - Acc,IE00BMVB5P51,V60A,Vanguard,Active ,Full Replication,Accumulating,6.4169315,6.52515276,119.5446291,25.7713333333333
,515,iShares EUR Govt Bond 7-10yr UCITS ETF EUR (Acc),IE00B3VTN290,SXRQ,iShares,Passive,Optimised,Accumulating,6.371882875,4.9010979599999995,107.21443282,7.4999
,516,Lyxor Euro Government Bond (DR) UCITS ETF - Acc,LU1650490474,LYQ1,Lyxor,Passive,Full Replication,Accumulating,6.36931775,2.867808575,743.4259621932,4.5875
,517,iShares MSCI Japan ESG Enhanced UCITS ETF USD (Acc),IE00BHZPJ452,EDMJ,iShares,Passive,Optimised,Accumulating,6.360431611999999,5.083703325,400.12511877979864,16.5866666666667
,518,Amundi ETF Short EURO STOXX 50 Daily UCITS ETF - EUR (C/D),FR0010757781,18MS,Amundi,Passive,Swap-based,Accumulating,6.358022923,3.0794742539999995,121.8381169288813,9.85319047619048
,519,iShares eb.rexx Government Germany 1.5-2.5yr UCITS ETF (DE) EUR (Dist),DE0006289473,EXHB,iShares,Passive,Optimised,Distributing,6.357534889999999,8.946600328,136.92072650999998,3.01280952380952
,520,iShares SLI UCITS ETF (DE),DE0005933964,EXI1,iShares,Passive,Full Replication,Distributing,6.35512742,3.33866562,329.1807391056045,8.59509523809524
,521,Xtrackers II Eurozone Government Bond 7-10 UCITS ETF 1C,LU0290357259,DBXB,Xtrackers,Passive,Optimised,Accumulating,6.35369646,15.053855740000001,348.41097418879997,7.01452380952381
,522,Vanguard FTSE Emerging Markets UCITS ETF (USD) Accumulating,IE00BK5BR733,VFEA,Vanguard,Passive,Optimised,Accumulating,6.3497876799999995,6.221354430000001,156.4521891,33.31305
,523,Amundi Index Breakeven Inflation USD 10Y UCITS ETF DR - USD (C),LU2037750168,AFI1,Amundi,Passive,Full Replication,Accumulating,6.344349707999999,1.3517769199999998,313.0304770977215,20.6834285714286
,524,BNP Paribas Easy JPM ESG EMBI Global Diversified Composite UCITS ETF - Acc h EUR,LU1547515137,ASRD,EasyETF,Passive,Optimised,Accumulating,6.3432397138,7.3544384646,125.487,55.4173
,525,iShares MSCI Canada UCITS ETF USD (Acc),IE00B52SF786,SXR2,iShares,Passive,Full Replication,Accumulating,6.25877554,3.9893828,1137.1328029136498,17.7686666666667
,526,iShares MSCI EM IMI ESG Screened UCITS ETF USD (Dist),IE00BFNM3N12,OM3Y,iShares,Passive,Optimised,Distributing,6.233309432,8.247932105,338.25626056860324,32.09935
,527,iShares STOXX Europe 600 Personal & Household Goods UCITS ETF (DE),DE000A0H08N1,EXH7,iShares,Passive,Full Replication,Distributing,6.225001440000001,18.23150444,115.48537264,12.7909
,528,iShares MSCI USA UCITS ETF USD (Acc),IE00B52SFT06,SXR4,iShares,Passive,Full Replication,Accumulating,6.224603780000001,4.14458361,840.7412214285713,10.3641904761905
,529,SPDR Bloomberg Barclays 1-3 Year Euro Government Bond UCITS ETF,IE00B6YX5F63,SYB3,SPDR,Passive,Optimised,Distributing,6.223279202,4.292863914000001,787.90684934,3.59185
,530,Deka MSCI Emerging Markets UCITS ETF,DE000ETFL342,EL40,Deka ETF,Passive,Swap-based,Accumulating,6.192228994,4.071480967,70.30525569676111,41.9277619047619
,531,iShares Digital Security UCITS ETF USD (Dist),IE00BG0J4841,IS4S,iShares,Passive,Optimised,Distributing,6.136519154,11.070511596000001,174.5389153540526,19.6404761904762
,532,iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Acc),IE00BQN1K562,CEMQ,iShares,Passive,Optimised,Accumulating,6.119815555,4.170870518,285.24879039999996,15.5602857142857
,533,Amundi Index US Corp SRI UCITS ETF DR - Hedged EUR (D),LU2297533809,UCRH,Amundi,Passive,Full Replication,Distributing,6.078427862,4.904180684,258.78556164698574,13.119
,534,Xtrackers MSCI USA Financials UCITS ETF 1D,IE00BCHWNT26,XUFN,Xtrackers,Passive,Full Replication,Distributing,6.025503245,9.951028404999999,677.4044637523369,31.2262380952381
,535,SPDR S&P U.S. Consumer Staples Select Sector UCITS ETF,IE00BWBXM385,ZPDS,SPDR,Passive,Full Replication,Accumulating,6.023327545,2.92227333,155.04015331979517,13.3029
,536,iShares MSCI EMU Small Cap UCITS ETF EUR (Acc),IE00B3VWMM18,SXRJ,iShares,Passive,Optimised,Accumulating,6.02298295,6.246586,813.66151247,14.1793333333333
,537,Fidelity Global Quality Income UCITS ETF Inc-USD,IE00BYXVGZ48,FGEQ,Fidelity ETF,Passive,Full Replication,Distributing,6.009897496000001,4.064467519,320.25504743069047,29.6349047619048
