XTF Segment of Deutsche Börse Group,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Monthly turnover report: December 2009,,,,,,
,,,,,,
,,,,,,
XTF Exchange Traded Funds (Deutsche Börse),ISIN,Xetra Order Book Turnover in MEUR,,,,AuM
,,12/2009,11/2009,Change (%),Market Share,in MEUR
Lyxor ETF MSCI AC Asia-Pacific Ex Japan,FR0010312124,6.874808186,9.084858176000001,-0.2432674178490115,0.0007049188728534084,520.47427792
Lyxor ETF MSCI Asia APEX 50,FR0010652867,0.22644076000000002,2.44003139,-0.9071976037160735,2.3218446389868365e-05,23.6407096
iShares FTSE 100 (DE),DE0006289408,15.40160314,23.775233179,-0.3521997019316805,0.001579226711763899,131.48946655999998
Xmtch (IE) on MSCI EMU Small Cap,IE00B3VWMM18,0.946838,0,,9.70854688126386e-05,18.02944
ETFlab DJ STOXX Strong Growth 20,DE000ETFL037,0.11112063999999999,0.03330819,2.3361356471186214,1.1393923172876923e-05,1.88890675
db x-trackers db Hedge Fund Index ETF,LU0328476337,12.68152941,19.80233527,-0.3595942479969939,0.0013003198308803767,523.1481814
Xmtch (IE) on iBoxx EUR Inflation Linked,IE00B3VTQ640,0.11044738,0,,1.132488943877162e-05,15.7629626
iShares MSCI Japan Small Cap,DE000A0RFEC9,3.9727089500000003,0.67968002,4.844969446063752,0.0004073477309390997,111.112
db x-trackers MSCI EM LATAM TRN Index ETF,LU0292108619,38.286740674,34.77284996,0.10105270974458835,0.003925788960353523,250.31802729
UBS-ETF MSCI Canada,LU0446734872,0.73589636,0.0505458,13.559001143517364,7.545624817351465e-05,5.049983215719
iShares DJ US Select Dividend (DE),DE000A0D8Q49,3.637756075,1.095050338,2.3219989517961324,0.0003730028304392083,32.0921356
ETFlab DJ STOXX 50,DE000ETFL250,1.6581903999999998,0.00752142,219.4624126827115,0.00017002506486285584,0.43024608000000003
Lyxor ETF MSCI India,FR0010361683,22.314556925,25.295916886999997,-0.11785933577019969,0.0022880569014022845,897.99040938
ComStage ETF Commerzbank Commodity EW Index TR,LU0419741177,1.19403719,0.62390307,0.913818423749702,0.00012243241227208416,113.217
iShares S&P Listed Private Equity,DE000A0MSAF4,0.4119021,1.560623508,-0.7360656827937517,4.223500586521701e-05,60.00600000000001
Xmtch (Lux) on MSCI Emerging Markets,LU0254097446,0.024899911244623502,0,,2.5531501234396634e-06,148.27660052174997
db x-trackers MSCI Korea TRN Index ETF,LU0292100046,23.625425964,25.996826056000003,-0.09121883136394215,0.002422468844314681,91.25161443
Lyxor ETF Russia (DJ Rusindex Titans 10),FR0010326140,15.43135877,25.126144554,-0.3858445438441379,0.0015822777503664534,437.61003538
iShares DJ Asia Pacific Select Dividend 30 (DE),DE000A0H0744,6.779087496000001,4.156827225,0.630832153722723,0.000695104006885081,56.908284300000005
iShares S&P Global Clean Energy,DE000A0M5X10,1.723208571,1.586923558,0.08588001124122191,0.00017669180153045402,127.89
FTSE 250 Source ETF ,IE00B60SWV01,1.6969851999999999,1.7784106599999998,-0.045785521775943416,0.00017400294845592304,21.134385306288
ETFlab DJ STOXX Strong Style Composite 40,DE000ETFL052,0.0010976,1.55785955,-0.9992954435462427,1.1254407889074174e-07,10.913228199999999
iShares FTSE EPRA/NAREIT Asia Property Yield Fund,DE000A0LGQJ9,2.8817024300000003,3.191854712,-0.09716992469424146,0.00029547972450944074,116.688
ComStage ETF MSCI USA Small Cap TRN,LU0392496005,0.48094355,0.22833042,1.106348991956481,4.931427554044587e-05,24.671795
iShares DJ STOXX 600 Travel & Leisure (DE),DE0006344757,2.03005239,0.16487276,11.312842885628893,0.00020815449738748068,6.84043416
PowerShares Dynamic Global Developed Markets Fund,IE00B23D9463,0.00279125,5.135e-05,53.35735150925024,2.8620504756175553e-07,1.71526428815
iShares Barclays Euro Corporate Bond 1-5,DE000A0YEEZ9,0.14019238,0,,1.4374838078171323e-05,38.33222925
db x-trackers S&P CNX Nifty ETF,LU0292109690,13.604165199999999,10.123791932,0.343781588102279,0.0013949236894237273,192.82222303
ComStage ETF iBoxx € Liquid Sovereigns Diversified 15+ TR,LU0444606536,4.37898163,3.1054038999999998,0.4101166131722833,0.0004490055156959082,9.928175040000001
Lyxor ETF Hong Kong (HSI),FR0010361675,9.141347455,4.347823515,1.102511158390476,0.0009373219106625375,137.33793579
Lyxor ETF Brazil Ibovespa,FR0010408799,25.773947353,26.676640855,-0.033838349697271175,0.002642770739998047,587.3378526
db x-trackers DJ STOXX 600 Utilities Short Daily ETF,LU0412624867,0,0.0496875,-1,0,1.75891416
iShares FTSE EPRA/NAREIT US Property Yield Fund,DE000A0LGQK7,2.90912353,3.767416046,-0.2278199448959931,0.00029829138854157533,116.856
iShares DJ STOXX 600 Travel & Leisure Swap (DE),DE000A0F5UC2,0.03282852,0.044494269999999995,-0.26218544545174016,3.366122034207628e-06,6.148659
Lyxor ETF Eastern Europe,FR0010204073,8.843967597999999,11.391575948000002,-0.22363967563656373,0.0009068296164873137,289.85020259
iSHares MSCI World Islamic,DE000A0NA0L5,0.0039059,0.00999,-0.609019019019019,4.0049737403366265e-07,23.168
iShares FTSE EPRA/Nareit Developed World Yield Fund,DE000A0LGQL5,4.464073928,6.028744017,-0.2595350017496023,0.0004577305833882429,273.76
db x-trackers II FED Funds Effective Rate TRI ETF,LU0321465469,2.2317672799999997,6.165371990000001,-0.6380157947290379,0.00022883763923660356,43.59238422
iShares DJ STOXX Mid 200 (DE),DE0005933998,3.356705295,1.90322153,0.7636965755636445,0.00034418486291312906,85.13175487999999
iShares MSCI Taiwan,DE000A0HG2K5,5.81064524,13.16766106,-0.5587184987885768,0.0005958033129525082,168.825
Dow Jones STOXX Small 200 Source ETF,IE00B60SWZ49,1.0704756299999998,0.22310416,3.7980980273967093,0.00010976284051871031,21.81375886
iShares DJ STOXX Large 200 (DE),DE0005933980,1.0363753900000001,0.777362857,0.3331938626442503,0.00010626632074761593,33.5134736
db x-trackers MSCI Brazil TRN Index ETF,LU0292109344,33.652490238,32.771095765,0.026895483731164793,0.003450609070895944,215.4118407
iShares Barclays Euro Aggregate Bond ETF,DE000A0RM447,0.39444832,0.70723152,-0.44226422487504513,4.044535609001507e-05,76.37060228
db x-trackers S&P Japan 500 Shariah ETF,LU0328475289,0.007599,0,,7.791749776701407e-07,3.67855968825
PowerShares Global Listed Private Equity Fund,IE00B23D8Z06,0.003971,0.008583,-0.5373412559711057,4.071725011617487e-07,2.3450046900000006
db x-trackers DJ Islamic Market Titans 100 ETF,LU0328475529,0.0110815,0.0027887199999999997,2.973686852749649,1.1362583912424877e-06,2.784
Lyxor ETF EuroMTS Covered Bond Aggregate,FR0010481127,1.603317882,0.47113707,2.4030815745405048,0.00016439862809652418,116.67989319
Lyxor ETF Japan (Topix),FR0010245514,8.444441845,7.279367686,0.1600515606926578,0.000865863638112209,362.61628523
ComStage ETF MSCI Pacific TRN,LU0392495023,1.1080378,0.12234663,8.056545325359595,0.00011361433452726303,9.60375
PowerShares FTSE RAFI Developed 1000 Fund,IE00B23D8W74,0.014182479999999999,0.00951788,0.49008812886903397,1.4542220736027392e-06,4.04500809
PowerShares Palisades Global Water Fund,IE00B23D9026,0.25312363,0.04345734,4.824646193255271,2.5954414890516507e-05,4.935007049999999
iShares Global Inflation-Linked Bond,DE000A0RFED7,0.20053945,0.07975047,1.5145864344122364,2.056261632790266e-05,62.1216
iShares DJ Global Titans 50 (DE),DE0006289382,6.00154994,2.954245798,1.0314998650630223,0.0006153780155922798,55.546790449999996
iShares S&P Global Timber&Forestry,DE000A0NA0H3,2.8428204100000003,0.97449787,1.9172156220310672,0.00029149289768153313,21.166
ComStage ETF MSCI Europe TRN,LU0392494646,6.9802494,7.10279176,-0.017252703463743302,0.0007157304474769066,70.619395
ETFlab MSCI Europe,DE000ETFL284,0.1500697,0.019934900000000002,6.527988602902448,1.538762404875177e-05,37.57611728
db x-trackers Currency Returns ETF,LU0328474472,5.967872304999999,18.820603375,-0.6829074931291887,0.0006119248282651172,127.919248
UBS-ETF MSCI Pacific ex Japan,LU0446734526,0.5218,0.5049,0.03347197464844531,5.350355353971305e-05,12.324804392499999
db x-trackers FTSE 100 ETF,LU0292097234,21.840843118000002,43.99727704,-0.5035864810873759,0.0022394839385135802,295.8628288
PowerShares FTSE RAFI Developed Europe Mid-Small Fund,IE00B23D8Y98,0.25973599199999997,0.838007927,-0.6900554474110601,2.663242344607604e-05,4.60800768
db x-trackers MSCI EM EMEA TRN Index ETF,LU0292109005,5.662523366,9.207232208,-0.38499179361633407,0.0005806154121936702,50.928540270000006
iShares Barclays Euro Corporate Bond ex-Financials,DE000A0YEEX4,0.05741161,0,,5.886786411337916e-06,20.258
db x-trackers Currency Valuation ETF,LU0328473748,1.3207132050000001,4.972021712,-0.7343709900114772,0.0001354213293873582,29.40243075
iShares DJ STOXX 600 Financial Services Swap (DE),DE000A0F5T10,1.96376452,2.2135168700000003,-0.11283056089832288,0.00020135757020929261,7.629567600000001
UBS-ETF FTSE 100,LU0136242590,2.50609681,5.25348031,-0.5229644612487374,0.0002569664332110752,130.977438179187
db x-trackers Currency Carry ETF,LU0328474126,0.609608118,2.6071541600000003,-0.7661787218597,6.250709195028116e-05,9.713026440000002
iShares € Covered Bond,DE000A0RFEE5,0.26571554,3.2998847400000004,-0.9194773269565772,2.7245545459416944e-05,43.8336
db x-trackers II SONIA TRI ETR,LU0321464652,0.0018722699999999999,0.0341913,-0.9452413333216345,1.9197604098466565e-07,14.11048836
iShares DJ STOXX 600 Media Swap (DE),DE000A0F5T69,0.46909725,0.12459191,2.7650698990006655,4.809959722251275e-05,12.65472824
iShares MSCI Emerging Markets,DE000A0YBR46,0.03854153,0.058008620000000004,-0.3355896071997576,3.9519141699069684e-06,11.19
iShares DJ STOXX 600 Technology Swap (DE),DE000A0F5UA6,0.5529709399999999,0.28063095,0.9704560028036819,5.6699713097346574e-05,15.1333077
Lyxor ETF MSCI Emerging Markets,FR0010429068,23.534372626,26.668339591,-0.11751638883650817,0.0024131325523548256,666.6630765399999
iShares DJ STOXX EU Enlarged 15 (DE),DE000A0D8Q15,5.595815094,8.268837360000001,-0.3232645835955831,0.0005737753784594928,29.43643593
iShares S&P Global Water,DE000A0MSAG2,1.13478442,1.745872403,-0.3500186966412574,0.00011635683973074397,116.732
ETFlab DJ EURO STOXX Select Dividend 30,DE000ETFL078,4.025737589999999,1.31434206,2.0629298966511045,0.00041278510288118115,14.055460550000001
Lyxor ETF DJ STOXX 600 Travel & Leisure,FR0010344838,0.75766025,1.88310632,-0.5976540241232902,7.768784160748825e-05,19.29170481
