date,smb,hml
17/06/2009,0.009900,-0.010200
18/06/2009,-0.006700,0.004100
19/06/2009,0.002700,0.001700
22/06/2009,-0.003400,-0.008200
23/06/2009,-0.011300,0.001800
24/06/2009,0.002400,-0.001500
25/06/2009,0.007900,0.000100
26/06/2009,0.015600,0.001500
29/06/2009,-0.010900,0.003600
30/06/2009,0.002500,-0.002000
01/07/2009,0.015000,0.001900
02/07/2009,-0.006500,-0.010900
06/07/2009,-0.008900,-0.009700
07/07/2009,0.000000,-0.001400
08/07/2009,-0.005900,-0.011100
09/07/2009,-0.006000,0.012500
10/07/2009,0.009300,-0.005400
13/07/2009,-0.006500,0.018000
14/07/2009,0.002900,0.006200
15/07/2009,0.005400,0.013500
16/07/2009,0.004800,-0.001600
17/07/2009,-0.002300,-0.001100
20/07/2009,0.003200,0.003400
21/07/2009,-0.005300,-0.008400
22/07/2009,0.005800,0.003900
23/07/2009,0.006100,0.010200
24/07/2009,0.003200,0.000900
27/07/2009,0.001100,0.010000
28/07/2009,0.002600,-0.002900
29/07/2009,-0.001200,-0.008200
30/07/2009,0.002800,0.014400
31/07/2009,-0.002200,0.012300
03/08/2009,0.000500,0.016500
04/08/2009,0.004000,0.008000
05/08/2009,-0.011300,0.017300
06/08/2009,-0.010100,0.000700
07/08/2009,0.009700,0.012000
10/08/2009,0.004900,0.003200
11/08/2009,-0.000500,-0.012000
12/08/2009,0.004500,0.004900
13/08/2009,-0.003400,0.010800
14/08/2009,-0.012400,-0.002500
17/08/2009,-0.001000,-0.016600
18/08/2009,0.004200,0.012200
19/08/2009,0.004500,-0.004200
20/08/2009,-0.000600,0.008200
21/08/2009,0.003800,0.006800
24/08/2009,0.000600,-0.003200
25/08/2009,0.001700,0.006900
26/08/2009,0.001500,0.000900
27/08/2009,-0.001400,0.005400
28/08/2009,-0.004000,0.005500
31/08/2009,-0.004600,-0.006200
01/09/2009,0.001200,-0.020600
02/09/2009,0.001100,-0.006800
03/09/2009,0.000100,0.011100
04/09/2009,0.002300,0.002600
08/09/2009,0.001900,0.000600
09/09/2009,0.008100,0.007000
10/09/2009,0.004600,0.009200
11/09/2009,0.001300,-0.000800
14/09/2009,0.000600,0.006400
